id,duration,title,channel,id,viewing,user-id,start,duration,start,duration
1aP8THV2Ka8,820,140. Silent Unboxing: Backgammon Set - SOUNDsculptures - ASMR,SOUNDsculptures,UC6fzfWKde1lcgodpcP5rmkQ,,679,0,820,21,3
,,,,,,,,,26,40
,,,,,,,,,68,27
,,,,,,,,,115,3
,,,,,,,,,125,4
,,,,,,,,,144,32
,,,,,,,,,180,28
,,,,,,,,,224,38
,,,,,,,,,268,1
,,,,,,,,,270,2
,,,,,,,,,277,14
,,,,,,,,,302,2
,,,,,,,,,305,3
,,,,,,,,,335,19
,,,,,,,,,363,9
,,,,,,,,,373,12
,,,,,,,,,474,10
,,,,,,,,,494,2
,,,,,,,,,500,15
,,,,,,,,,518,6
,,,,,,,,,561,3
1CJR5NeGb8U,1694,"[ASMR] Chiropractor Healing Roleplay (cracking, massage sounds & re-adjusting your neck)",Pigsbum53 ASMR,UC7QNSs_NfuvoYh1cI_5XM_A,,7,0,1694,8,5
,,,,,,,,,21,3
,,,,,,,,,26,5
,,,,,,,,,32,3
,,,,,,,,,82,25
,,,,,,,,,140,3
,,,,,,,,,320,3
,,,,,,,,,398,12
,,,,,,,,,417,8
,,,,,,,,,444,2
,,,,,,,,,459,8
,,,,,,,,,492,3
,,,,,,,,,498,3
,,,,,,,,,504,4
,,,,,,,,,689,3
,,,,,,,,,696,1
,,,,,,,,,705,1
,,,,,,10,0,1694,402,1
,,,,,,,,,406,6
,,,,,,,,,413,2
,,,,,,,,,416,8
,,,,,,,,,428,5
,,,,,,,,,439,4
,,,,,,23,0,1694,27,2
,,,,,,,,,131,5
,,,,,,,,,163,9
,,,,,,,,,347,7
,,,,,,,,,365,22
,,,,,,,,,390,8
,,,,,,,,,402,7
,,,,,,,,,410,3
,,,,,,,,,423,7
,,,,,,31,0,1694,20,4
,,,,,,,,,48,3
,,,,,,45,0,1694,397,4
,,,,,,,,,492,36
,,,,,,40,0,1694,19,3
,,,,,,,,,36,3
,,,,,,,,,44,3
,,,,,,,,,91,8
,,,,,,,,,103,3
,,,,,,,,,167,2
,,,,,,,,,247,3
,,,,,,,,,261,3
,,,,,,,,,345,7
,,,,,,,,,361,5
,,,,,,,,,376,4
,,,,,,,,,394,7
,,,,,,,,,851,12
,,,,,,,,,870,4
,,,,,,,,,907,4
,,,,,,,,,997,4
,,,,,,,,,1034,2
,,,,,,,,,1057,4
,,,,,,,,,1067,5
,,,,,,,,,1075,5
,,,,,,,,,1090,4
,,,,,,,,,1106,4
,,,,,,,,,1228,2
,,,,,,,,,1331,4
,,,,,,,,,1410,4
,,,,,,,,,1422,5
,,,,,,,,,1432,2
,,,,,,,,,1454,2
,,,,,,,,,1473,5
,,,,,,,,,1486,8
,,,,,,,,,1511,3
,,,,,,,,,1588,4
,,,,,,,,,1633,5
,,,,,,54,0,1694,98,6
,,,,,,,,,131,7
,,,,,,,,,147,5
,,,,,,,,,157,4
,,,,,,,,,162,6
,,,,,,,,,318,5
,,,,,,,,,347,3
,,,,,,,,,371,6
,,,,,,,,,390,5
,,,,,,68,0,1694,13,1
,,,,,,,,,18,1
,,,,,,,,,23,1
,,,,,,,,,25,2
,,,,,,,,,32,1
,,,,,,,,,35,2
,,,,,,,,,39,2
,,,,,,,,,44,1
,,,,,,,,,48,1
,,,,,,,,,50,1
,,,,,,,,,54,1
,,,,,,,,,56,2
,,,,,,,,,59,1
,,,,,,,,,63,1
,,,,,,,,,66,1
,,,,,,,,,76,2
,,,,,,,,,81,1
,,,,,,,,,94,1
,,,,,,,,,103,1
,,,,,,,,,107,1
,,,,,,,,,115,1
,,,,,,,,,123,1
,,,,,,,,,129,1
,,,,,,,,,380,1
,,,,,,,,,395,2
,,,,,,71,0,1694,63,1
,,,,,,,,,74,1
,,,,,,,,,77,3
,,,,,,,,,81,14
,,,,,,,,,96,7
,,,,,,72,0,1694,115,3
,,,,,,77,0,1694,12,1
,,,,,,,,,62,1
,,,,,,,,,71,1
,,,,,,,,,77,1
,,,,,,,,,82,1
,,,,,,,,,84,2
,,,,,,,,,89,1
,,,,,,,,,92,1
,,,,,,,,,98,3
,,,,,,,,,113,1
,,,,,,,,,238,1
,,,,,,,,,242,1
,,,,,,,,,246,1
,,,,,,,,,248,1
,,,,,,,,,251,1
,,,,,,,,,272,1
,,,,,,,,,275,1
,,,,,,,,,380,1
,,,,,,,,,396,1
,,,,,,,,,513,1
,,,,,,,,,567,1
,,,,,,,,,645,1
,,,,,,85,0,1694,336,3
,,,,,,,,,341,2
,,,,,,,,,344,4
,,,,,,,,,349,5
,,,,,,,,,356,2
,,,,,,89,0,1694,82,3
,,,,,,97,0,1694,36,5
,,,,,,,,,56,3
,,,,,,,,,71,2
,,,,,,,,,83,3
,,,,,,,,,90,5
,,,,,,,,,96,1
,,,,,,,,,103,2
,,,,,,,,,108,2
,,,,,,,,,119,2
,,,,,,,,,555,4
,,,,,,102,0,1694,32,5
,,,,,,104,0,1694,77,3
,,,,,,,,,85,8
,,,,,,,,,96,13
,,,,,,105,0,1694,36,3
,,,,,,,,,59,2
,,,,,,,,,76,2
,,,,,,,,,102,2
,,,,,,108,0,1694,80,1
,,,,,,,,,88,5
,,,,,,110,0,1694,86,1
,,,,,,,,,97,1
,,,,,,,,,104,1
,,,,,,,,,107,2
,,,,,,,,,110,2
,,,,,,,,,114,1
,,,,,,,,,117,2
,,,,,,,,,121,2
,,,,,,,,,125,1
,,,,,,127,0,1694,8,6
,,,,,,,,,17,4
,,,,,,,,,24,3
,,,,,,,,,36,2
,,,,,,,,,40,2
,,,,,,,,,44,2
,,,,,,,,,63,2
,,,,,,,,,76,4
,,,,,,,,,81,6
,,,,,,,,,92,2
,,,,,,,,,96,2
,,,,,,,,,123,1
,,,,,,134,0,1694,14,1
,,,,,,,,,17,1
,,,,,,,,,20,1
,,,,,,,,,42,4
,,,,,,,,,50,2
,,,,,,,,,53,5
,,,,,,,,,69,2
,,,,,,,,,75,4
,,,,,,,,,80,27
,,,,,,,,,109,5
,,,,,,141,0,1694,78,1
,,,,,,142,0,1694,82,47
,,,,,,143,0,1694,15,1
,,,,,,,,,35,2
,,,,,,,,,40,1
,,,,,,,,,45,1
,,,,,,,,,58,1
,,,,,,,,,84,1
,,,,,,,,,86,1
,,,,,,,,,91,1
,,,,,,145,0,1694,78,8
,,,,,,,,,93,8
,,,,,,144,0,1694,88,42
,,,,,,146,0,1694,97,5
,,,,,,151,0,1694,4,5
,,,,,,,,,11,12
,,,,,,,,,36,3
,,,,,,,,,42,8
,,,,,,,,,77,2
,,,,,,,,,82,3
,,,,,,154,0,1694,40,2
,,,,,,,,,90,10
,,,,,,,,,114,47
,,,,,,,,,183,47
,,,,,,,,,232,25
,,,,,,,,,262,22
,,,,,,,,,1051,43
,,,,,,121,0,1694,348,1
,,,,,,,,,483,1
,,,,,,166,0,1694,1,90
,,,,,,179,0,1694,82,1
,,,,,,,,,91,1
,,,,,,,,,97,1
,,,,,,,,,101,2
,,,,,,195,0,1694,14,2
,,,,,,,,,18,1
,,,,,,,,,53,3
,,,,,,,,,57,2
,,,,,,,,,60,2
,,,,,,,,,81,5
,,,,,,,,,120,6
,,,,,,,,,130,5
,,,,,,,,,156,2
,,,,,,,,,163,2
,,,,,,,,,198,2
,,,,,,,,,225,1
,,,,,,,,,246,1
,,,,,,,,,249,2
,,,,,,,,,572,4
,,,,,,,,,616,3
,,,,,,,,,620,2
,,,,,,201,0,1694,4,1
,,,,,,,,,49,1
,,,,,,,,,56,2
,,,,,,,,,60,2
,,,,,,,,,63,4
,,,,,,,,,76,2
,,,,,,,,,81,4
,,,,,,,,,89,3
,,,,,,,,,94,1
,,,,,,,,,96,4
,,,,,,,,,997,2
,,,,,,225,0,1694,89,2
,,,,,,,,,103,2
,,,,,,,,,108,2
,,,,,,253,0,1694,12,3
,,,,,,,,,18,2
,,,,,,,,,21,2
,,,,,,,,,46,2
,,,,,,,,,55,5
,,,,,,,,,62,3
,,,,,,,,,101,3
,,,,,,,,,111,2
,,,,,,,,,116,3
,,,,,,,,,140,3
,,,,,,,,,177,3
,,,,,,,,,184,1
,,,,,,,,,198,3
,,,,,,,,,257,2
,,,,,,,,,277,2
,,,,,,,,,492,4
,,,,,,,,,766,2
,,,,,,,,,794,1
